Date,Open,High,Low,Close,Adj Close,Volume
2014-09-10,464.987000,464.987000,457.931000,458.513000,336.761200,391384
2014-09-11,459.375000,462.450012,454.156006,460.455994,338.188324,186696
2014-09-12,461.250000,463.730988,456.705994,459.044006,337.151245,214144
2014-09-15,458.750000,459.312012,453.750000,455.368988,334.452087,597016
2014-09-16,458.750000,460.899994,453.350006,457.069000,335.700684,666472
2014-09-17,459.399994,468.237000,459.000000,467.549988,343.398590,321912
2014-09-18,460.500000,466.250000,457.138000,462.487000,339.679993,530784
2014-09-19,462.500000,471.169006,460.138000,462.681000,339.822510,1056752
2014-09-22,460.625000,461.712006,454.125000,456.368988,335.186523,351712
2014-09-23,456.875000,460.625000,449.263000,451.600006,331.683929,1245664
2014-09-24,451.875000,458.955994,450.312012,456.174988,335.044067,459008
2014-09-25,457.500000,463.125000,455.763000,461.705994,339.106384,518848
2014-09-26,461.000000,464.862000,457.450012,460.149994,337.963562,590368
2014-09-29,461.250000,470.500000,460.500000,468.888000,344.381287,301152
2014-09-30,468.750000,469.737000,463.000000,468.455994,344.063995,694216
2014-10-01,468.750000,482.487000,467.618988,480.899994,353.203674,569984
2014-10-07,471.250000,486.506012,471.237000,478.787994,351.652466,1314464
2014-10-08,471.750000,475.000000,455.406006,456.274994,335.117493,1312432
2014-10-09,462.500000,464.237000,453.750000,455.694000,334.690796,1619712
2014-10-10,460.625000,488.575012,450.000000,486.118988,357.036865,5176240
2014-10-13,487.250000,498.250000,486.250000,492.931000,362.040009,1388520
2014-10-14,495.187988,496.237000,487.644012,489.830994,359.763184,595344
2014-10-15,489.830994,489.830994,489.830994,489.830994,359.763184,0
2014-10-16,488.625000,492.118988,481.875000,483.200012,378.046631,483024
2014-10-17,483.250000,490.000000,479.987000,481.730988,376.897339,398840
2014-10-20,483.500000,486.000000,475.437988,476.500000,372.804718,404864
2014-10-21,481.250000,481.250000,464.750000,471.774994,369.107941,568848
2014-10-22,475.138000,476.343994,472.500000,474.337006,371.112427,260816
2014-10-27,479.750000,479.750000,473.218994,475.381012,371.929199,186096
2014-10-28,468.888000,476.687988,468.888000,474.256012,371.049042,208832
2014-10-29,475.506012,486.750000,475.506012,484.906006,379.381409,223984
2014-10-30,486.250000,497.381012,486.250000,493.269012,385.924438,575216
2014-10-31,496.631012,508.750000,496.631012,506.431000,396.222137,670704
2014-11-03,509.375000,513.556030,504.350006,510.562012,399.454163,501784
2014-11-05,509.987000,519.294006,507.169006,515.750000,403.513153,586104
2014-11-07,515.750000,522.931030,514.536987,521.088013,407.689545,494728
2014-11-10,521.125000,522.669006,517.775024,521.275024,407.835876,244552
2014-11-11,520.687988,520.687988,513.606018,515.568970,403.371521,260144
2014-11-12,515.138000,518.750000,512.625000,513.556030,401.796661,226352
2014-11-13,513.875000,525.000000,513.875000,522.638000,408.902222,330824
2014-11-14,523.880981,526.181030,522.018982,523.544006,409.611053,354792
2014-11-17,522.500000,528.125000,518.669006,526.099976,411.610809,393088
2014-11-18,527.500000,528.125000,521.275024,522.112000,408.490662,231416
2014-11-19,522.750000,524.500000,517.737000,522.468994,408.769958,242744
2014-11-20,522.750000,529.049988,522.750000,527.713013,412.872833,280168
2014-11-21,525.125000,525.125000,515.981018,518.263000,405.479309,438376
2014-11-24,525.000000,535.000000,523.250000,534.237000,417.977051,837328
2014-11-25,537.213013,539.968994,531.125000,537.893982,420.838196,669552
2014-11-26,538.125000,538.875000,534.375000,537.205994,420.299957,494440
2014-11-27,539.750000,547.125000,538.869019,545.862000,427.072235,1013392
2014-11-28,547.125000,549.875000,543.125000,544.906006,426.324249,1059968
